theme,distinctcolors
Blacktron II,8
Space Police II,8
eLAB,8
Vehicle,7
Blacktron I,7
Universe,7
Dinosaurs,7
M:Tron,6
Ice Planet 2002,6
Minifig Pack,6
Space Police I,6
Power Functions,5
The Hobbit,5
Soft Bricks,4
Jumbo Bricks,4
Classic Town,4
Control Lab,2
HO 1:87 Vehicles,1
4 Juniors,1
